feature,value
name,raw (peak data)
mean_nni,755.3267045454545
sdnn,294.72067404159185
sdsd,397.73640340065646
nni_50,336
pnni_50,84.84848484848484
nni_20,365
pnni_20,92.17171717171718
rmssd,397.7366866590973
median_nni,796.875
range_nni,1125.0
cvsd,0.5265756979934264
cvnni,0.39018966530377186
mean_hr,103.21122855112324
max_hr,274.2857142857143
min_hr,44.651162790697676
std_hr,65.18903280983729
arousal,5.66
valence,3.1
name,interpolated (no artifacts)
mean_nni,862.0641691394659
sdnn,170.75354608494928
sdsd,200.581045215983
nni_50,233
pnni_50,69.13946587537092
nni_20,276
pnni_20,81.89910979228486
rmssd,200.58182146893233
median_nni,859.375
range_nni,1000.0
cvsd,0.23267620746743034
cvnni,0.19807521550907256
mean_hr,72.95548061425092
max_hr,182.85714285714286
min_hr,45.1764705882353
std_hr,18.466807450686435
arousal,5.66
valence,3.1
name,nn_intervals (no artifacts or ectopic beats)
mean_nni,881.0158568249258
sdnn,146.10499439705504
sdsd,113.25247787931026
nni_50,229
pnni_50,67.95252225519287
nni_20,276
pnni_20,81.89910979228486
rmssd,113.2538526923569
median_nni,885.4166666666666
range_nni,812.5
cvsd,0.1285491649384269
cvnni,0.1658369633931445
mean_hr,70.14801776650498
max_hr,137.14285714285714
min_hr,48.0
std_hr,12.771345888547177
arousal,5.66
valence,3.1
