feature,value
gsr_min_ma,0.13867580000000002
gsr_max_ma,0.2789187
gsr_mean_ma,0.26912354289622825
gsr_sd_ma,0.01035882558975444
gsr_min_corr_ma,-0.03812148662745096
gsr_max_corr_ma,0.10212141337254904
gsr_mean_corr_ma,0.09232625626877729
gsr_sd_corr_ma,0.01035882558975444
gsr_baseline_mean_ma,0.17679728662745098
gsr_min_zf,0.2570411542126528
gsr_max_zf,0.2838023065224541
gsr_mean_zf,0.2700732934905666
gsr_sd_zf,0.005180976430254885
gsr_min_corr_zf,0.07961675640007743
gsr_max_corr_zf,0.10637790870987873
gsr_mean_corr_zf,0.09264889567799126
gsr_sd_corr_zf,0.005180976430254885
gsr_baseline_mean_zf,0.17742439781257535
arousal,7.33
valence,3.26
