feature,value
gsr_min_ma,0.05335101823529412
gsr_max_ma,0.1822049411764706
gsr_mean_ma,0.13580792033382352
gsr_sd_ma,0.02327644365014811
gsr_min_corr_ma,-0.17298896705882352
gsr_max_corr_ma,-0.04413504411764704
gsr_mean_corr_ma,-0.09053206496029412
gsr_sd_corr_ma,0.02327644365014811
gsr_baseline_mean_ma,0.22633998529411764
gsr_min_zf,0.09617898410495217
gsr_max_zf,0.1850290334421511
gsr_mean_zf,0.13630483680797958
gsr_sd_zf,0.02315698334040439
gsr_min_corr_zf,-0.1309337831956952
gsr_max_corr_zf,-0.04208373385849626
gsr_mean_corr_zf,-0.09080793049266779
gsr_sd_corr_zf,0.02315698334040439
gsr_baseline_mean_zf,0.22711276730064736
stress level,1.0
