feature,value
gsr_min_ma,0.09654625882352941
gsr_max_ma,0.4751944882352941
gsr_mean_ma,0.2882323405784314
gsr_sd_ma,0.07472212705087218
gsr_min_corr_ma,-0.12979372647058823
gsr_max_corr_ma,0.24885450294117645
gsr_mean_corr_ma,0.06189235528431373
gsr_sd_corr_ma,0.07472212705087218
gsr_baseline_mean_ma,0.22633998529411764
gsr_min_zf,0.17937865724211297
gsr_max_zf,0.4935272726241238
gsr_mean_zf,0.2890431391463311
gsr_sd_zf,0.07437095022121248
gsr_min_corr_zf,-0.047734110058534396
gsr_max_corr_zf,0.26641450532347644
gsr_mean_corr_zf,0.06193037184568375
gsr_sd_corr_zf,0.07437095022121248
gsr_baseline_mean_zf,0.22711276730064736
arousal,6.7
valence,2.56
