feature,value
gsr_min_ma,0.16422704705882352
gsr_max_ma,0.5140052588235294
gsr_mean_ma,0.38353962187254903
gsr_sd_ma,0.05701798571364897
gsr_min_corr_ma,-0.05613035857843138
gsr_max_corr_ma,0.2936478531862745
gsr_mean_corr_ma,0.16318221623529414
gsr_sd_corr_ma,0.057017985713648967
gsr_baseline_mean_ma,0.2203574056372549
gsr_min_zf,0.3091872625632273
gsr_max_zf,0.5168819000295547
gsr_mean_zf,0.3849947753392008
gsr_sd_zf,0.05655267922249791
gsr_min_corr_zf,0.0879235581665267
gsr_max_corr_zf,0.2956181956328541
gsr_mean_corr_zf,0.1637310709425002
gsr_sd_corr_zf,0.05655267922249791
gsr_baseline_mean_zf,0.22126370439670062
emotional rating,5.0
