feature,value
gsr_min_ma,0.24819189411764705
gsr_max_ma,0.8433010470588236
gsr_mean_ma,0.5583449555843267
gsr_sd_ma,0.09541227645333258
gsr_min_corr_ma,0.02783448848039216
gsr_max_corr_ma,0.6229436414215687
gsr_mean_corr_ma,0.3379875499470718
gsr_sd_corr_ma,0.09541227645333258
gsr_baseline_mean_ma,0.2203574056372549
gsr_min_zf,0.46618827371462895
gsr_max_zf,0.8526356419829451
gsr_mean_zf,0.5606633188125034
gsr_sd_zf,0.09636048458201076
gsr_min_corr_zf,0.24492456931792833
gsr_max_corr_zf,0.6313719375862444
gsr_mean_corr_zf,0.3393996144158028
gsr_sd_corr_zf,0.09636048458201076
gsr_baseline_mean_zf,0.22126370439670062
arousal,5.33
valence,2.23
