feature,value
gsr_min_ma,0.06165092352941176
gsr_max_ma,0.12533678235294118
gsr_mean_ma,0.12110224046568627
gsr_sd_ma,0.004683436746762279
gsr_min_corr_ma,-0.03117116154705883
gsr_max_corr_ma,0.03251469727647059
gsr_mean_corr_ma,0.02828015538921568
gsr_sd_corr_ma,0.004683436746762279
gsr_baseline_mean_ma,0.09282208507647059
gsr_min_zf,0.11459889679263134
gsr_max_zf,0.12979773884597595
gsr_mean_zf,0.12153116182518735
gsr_sd_zf,0.002565244547905012
gsr_min_corr_zf,0.021445023752981532
gsr_max_corr_zf,0.03664386580632614
gsr_mean_corr_zf,0.028377288785537545
gsr_sd_corr_zf,0.002565244547905012
gsr_baseline_mean_zf,0.09315387303964981
stress level,1.0
