feature,value
gsr_min_ma,0.06285681764705883
gsr_max_ma,0.12322647647058824
gsr_mean_ma,0.12100103143325441
gsr_sd_ma,0.004174778020623554
gsr_min_corr_ma,-0.02996526742941176
gsr_max_corr_ma,0.030404391394117644
gsr_mean_corr_ma,0.028178946356783818
gsr_sd_corr_ma,0.004174778020623554
gsr_baseline_mean_ma,0.09282208507647059
gsr_min_zf,0.11719471474501579
gsr_max_zf,0.12561675956684468
gsr_mean_zf,0.12139550955170963
gsr_sd_zf,0.0015140588050425092
gsr_min_corr_zf,0.02404084170536598
gsr_max_corr_zf,0.03246288652719487
gsr_mean_corr_zf,0.02824163651205983
gsr_sd_corr_zf,0.0015140588050425092
gsr_baseline_mean_zf,0.09315387303964981
arousal,5.81
valence,5.28
