feature,value
gsr_min_ma,0.2068878117647059
gsr_max_ma,0.6934606764705882
gsr_mean_ma,0.5128604059852941
gsr_sd_ma,0.08187479690159075
gsr_min_corr_ma,0.024699377734313743
gsr_max_corr_ma,0.5112722424401961
gsr_mean_corr_ma,0.33067197195490194
gsr_sd_corr_ma,0.08187479690159075
gsr_baseline_mean_ma,0.18218843403039214
gsr_min_zf,0.3881781335304277
gsr_max_zf,0.6981547927355652
gsr_mean_zf,0.5147807207218589
gsr_sd_zf,0.08136026468704732
gsr_min_corr_zf,0.2052646605552237
gsr_max_corr_zf,0.5152413197603612
gsr_mean_corr_zf,0.33186724774665494
gsr_sd_corr_zf,0.08136026468704732
gsr_baseline_mean_zf,0.182913472975204
stress level,1.0
