feature,value
gsr_min_ma,0.07974400588235295
gsr_max_ma,0.2007921058823529
gsr_mean_ma,0.17159413237254903
gsr_sd_ma,0.015744801112338006
gsr_min_corr_ma,-0.002256446978431373
gsr_max_corr_ma,0.11879165302156859
gsr_mean_corr_ma,0.0895936795117647
gsr_sd_corr_ma,0.015744801112338006
gsr_baseline_mean_ma,0.08200045286078432
gsr_min_zf,0.14727070045157867
gsr_max_zf,0.20697466734888922
gsr_mean_zf,0.17220236645159212
gsr_sd_zf,0.014762920158418253
gsr_min_corr_zf,0.06496204329220578
gsr_max_corr_zf,0.12466601018951634
gsr_mean_corr_zf,0.08989370929221925
gsr_sd_corr_zf,0.014762920158418253
gsr_baseline_mean_zf,0.08230865715937288
emotional rating,5.0
