feature,value
gsr_min_ma,0.26439696470588236
gsr_max_ma,1.8137178235294118
gsr_mean_ma,0.867548002674694
gsr_sd_ma,0.3548465662106458
gsr_min_corr_ma,0.07076699809852943
gsr_max_corr_ma,1.620087856922059
gsr_mean_corr_ma,0.6739180360673411
gsr_sd_corr_ma,0.3548465662106458
gsr_baseline_mean_ma,0.19362996660735293
gsr_min_zf,0.4665495099624551
gsr_max_zf,1.837974601258349
gsr_mean_zf,0.8716864800753733
gsr_sd_zf,0.35979079493990573
gsr_min_corr_zf,0.27200258487696855
gsr_max_corr_zf,1.6434276761728626
gsr_mean_corr_zf,0.6771395549898868
gsr_sd_corr_zf,0.35979079493990573
gsr_baseline_mean_zf,0.19454692508548654
stress level,1.0
