feature,value
gsr_min_ma,0.062479976470588235
gsr_max_ma,0.12224670588235294
gsr_mean_ma,0.11910851924019608
gsr_sd_ma,0.0042970333462492875
gsr_min_corr_ma,-0.007345548206372544
gsr_max_corr_ma,0.05242118120539216
gsr_mean_corr_ma,0.049282994563235295
gsr_sd_corr_ma,0.0042970333462492875
gsr_baseline_mean_ma,0.06982552467696078
gsr_min_zf,0.11483972203789787
gsr_max_zf,0.12680870316324525
gsr_mean_zf,0.11952465933801269
gsr_sd_zf,0.00163853778863188
gsr_min_corr_zf,0.04476969755040376
gsr_max_corr_zf,0.056738678675751136
gsr_mean_corr_zf,0.04945463485051859
gsr_sd_corr_zf,0.00163853778863188
gsr_baseline_mean_zf,0.07007002448749411
emotional rating,5.0
