['Dataset: complete_dict', 'Max_depth: 1', 'Score Train Data: 0.46', 'Score Test Data: 0.46']
['Dataset: complete_dict', 'Max_depth: 2', 'Score Train Data: 0.57', 'Score Test Data: 0.46']
['Dataset: complete_dict', 'Max_depth: 3', 'Score Train Data: 0.63', 'Score Test Data: 0.54']
['Dataset: complete_dict', 'Max_depth: 4', 'Score Train Data: 0.70', 'Score Test Data: 0.46']
['Dataset: complete_dict', 'Max_depth: 5', 'Score Train Data: 0.70', 'Score Test Data: 0.46']
['Dataset: complete_dict', 'Max_depth: 6', 'Score Train Data: 0.76', 'Score Test Data: 0.50']
['Dataset: complete_dict', 'Max_depth: 7', 'Score Train Data: 0.83', 'Score Test Data: 0.50']
['Dataset: complete_dict', 'Max_depth: 8', 'Score Train Data: 0.89', 'Score Test Data: 0.54']
['Dataset: complete_dict', 'Max_depth: 9', 'Score Train Data: 0.93', 'Score Test Data: 0.54']
[]
['Dataset: rest_v_all_dict', 'Max_depth: 1', 'Score Train Data: 0.93', 'Score Test Data: 0.73']
['Dataset: rest_v_all_dict', 'Max_depth: 2', 'Score Train Data: 1.00', 'Score Test Data: 0.96']
['Dataset: rest_v_all_dict', 'Max_depth: 3', 'Score Train Data: 1.00', 'Score Test Data: 0.96']
['Dataset: rest_v_all_dict', 'Max_depth: 4', 'Score Train Data: 1.00', 'Score Test Data: 0.96']
['Dataset: rest_v_all_dict', 'Max_depth: 5', 'Score Train Data: 1.00', 'Score Test Data: 0.96']
['Dataset: rest_v_all_dict', 'Max_depth: 6', 'Score Train Data: 1.00', 'Score Test Data: 0.96']
['Dataset: rest_v_all_dict', 'Max_depth: 7', 'Score Train Data: 1.00', 'Score Test Data: 0.96']
['Dataset: rest_v_all_dict', 'Max_depth: 8', 'Score Train Data: 1.00', 'Score Test Data: 0.96']
['Dataset: rest_v_all_dict', 'Max_depth: 9', 'Score Train Data: 1.00', 'Score Test Data: 0.96']
[]
['Dataset: stress_v_all_dict', 'Max_depth: 1', 'Score Train Data: 0.89', 'Score Test Data: 0.81']
['Dataset: stress_v_all_dict', 'Max_depth: 2', 'Score Train Data: 0.97', 'Score Test Data: 0.85']
['Dataset: stress_v_all_dict', 'Max_depth: 3', 'Score Train Data: 1.00', 'Score Test Data: 0.85']
['Dataset: stress_v_all_dict', 'Max_depth: 4', 'Score Train Data: 1.00', 'Score Test Data: 0.85']
['Dataset: stress_v_all_dict', 'Max_depth: 5', 'Score Train Data: 1.00', 'Score Test Data: 0.85']
['Dataset: stress_v_all_dict', 'Max_depth: 6', 'Score Train Data: 1.00', 'Score Test Data: 0.85']
['Dataset: stress_v_all_dict', 'Max_depth: 7', 'Score Train Data: 1.00', 'Score Test Data: 0.85']
['Dataset: stress_v_all_dict', 'Max_depth: 8', 'Score Train Data: 1.00', 'Score Test Data: 0.85']
['Dataset: stress_v_all_dict', 'Max_depth: 9', 'Score Train Data: 1.00', 'Score Test Data: 0.85']
[]
['Dataset: stress_v_rest_dict', 'Max_depth: 1', 'Score Train Data: 1.00', 'Score Test Data: 1.00']
['Dataset: stress_v_rest_dict', 'Max_depth: 2', 'Score Train Data: 1.00', 'Score Test Data: 1.00']
['Dataset: stress_v_rest_dict', 'Max_depth: 3', 'Score Train Data: 1.00', 'Score Test Data: 1.00']
['Dataset: stress_v_rest_dict', 'Max_depth: 4', 'Score Train Data: 1.00', 'Score Test Data: 1.00']
['Dataset: stress_v_rest_dict', 'Max_depth: 5', 'Score Train Data: 1.00', 'Score Test Data: 1.00']
['Dataset: stress_v_rest_dict', 'Max_depth: 6', 'Score Train Data: 1.00', 'Score Test Data: 1.00']
['Dataset: stress_v_rest_dict', 'Max_depth: 7', 'Score Train Data: 1.00', 'Score Test Data: 1.00']
['Dataset: stress_v_rest_dict', 'Max_depth: 8', 'Score Train Data: 1.00', 'Score Test Data: 1.00']
['Dataset: stress_v_rest_dict', 'Max_depth: 9', 'Score Train Data: 1.00', 'Score Test Data: 1.00']
[]
['Dataset: stress_v_stress_dict', 'Max_depth: 1', 'Score Train Data: 0.94', 'Score Test Data: 0.43']
['Dataset: stress_v_stress_dict', 'Max_depth: 2', 'Score Train Data: 1.00', 'Score Test Data: 0.43']
['Dataset: stress_v_stress_dict', 'Max_depth: 3', 'Score Train Data: 1.00', 'Score Test Data: 0.43']
['Dataset: stress_v_stress_dict', 'Max_depth: 4', 'Score Train Data: 1.00', 'Score Test Data: 0.43']
['Dataset: stress_v_stress_dict', 'Max_depth: 5', 'Score Train Data: 1.00', 'Score Test Data: 0.43']
['Dataset: stress_v_stress_dict', 'Max_depth: 6', 'Score Train Data: 1.00', 'Score Test Data: 0.43']
['Dataset: stress_v_stress_dict', 'Max_depth: 7', 'Score Train Data: 1.00', 'Score Test Data: 0.43']
['Dataset: stress_v_stress_dict', 'Max_depth: 8', 'Score Train Data: 1.00', 'Score Test Data: 0.43']
['Dataset: stress_v_stress_dict', 'Max_depth: 9', 'Score Train Data: 1.00', 'Score Test Data: 0.43']
[]
['Dataset: emotion_v_all_dict', 'Max_depth: 1', 'Score Train Data: 0.75', 'Score Test Data: 0.73']
['Dataset: emotion_v_all_dict', 'Max_depth: 2', 'Score Train Data: 0.82', 'Score Test Data: 0.69']
['Dataset: emotion_v_all_dict', 'Max_depth: 3', 'Score Train Data: 0.84', 'Score Test Data: 0.50']
['Dataset: emotion_v_all_dict', 'Max_depth: 4', 'Score Train Data: 0.88', 'Score Test Data: 0.58']
['Dataset: emotion_v_all_dict', 'Max_depth: 5', 'Score Train Data: 0.91', 'Score Test Data: 0.65']
['Dataset: emotion_v_all_dict', 'Max_depth: 6', 'Score Train Data: 0.96', 'Score Test Data: 0.65']
['Dataset: emotion_v_all_dict', 'Max_depth: 7', 'Score Train Data: 1.00', 'Score Test Data: 0.65']
['Dataset: emotion_v_all_dict', 'Max_depth: 8', 'Score Train Data: 1.00', 'Score Test Data: 0.65']
['Dataset: emotion_v_all_dict', 'Max_depth: 9', 'Score Train Data: 1.00', 'Score Test Data: 0.65']
[]
['Dataset: emotion_v_rest_dict', 'Max_depth: 1', 'Score Train Data: 0.90', 'Score Test Data: 0.80']
['Dataset: emotion_v_rest_dict', 'Max_depth: 2', 'Score Train Data: 1.00', 'Score Test Data: 0.80']
['Dataset: emotion_v_rest_dict', 'Max_depth: 3', 'Score Train Data: 1.00', 'Score Test Data: 0.80']
['Dataset: emotion_v_rest_dict', 'Max_depth: 4', 'Score Train Data: 1.00', 'Score Test Data: 0.80']
['Dataset: emotion_v_rest_dict', 'Max_depth: 5', 'Score Train Data: 1.00', 'Score Test Data: 0.80']
['Dataset: emotion_v_rest_dict', 'Max_depth: 6', 'Score Train Data: 1.00', 'Score Test Data: 0.80']
['Dataset: emotion_v_rest_dict', 'Max_depth: 7', 'Score Train Data: 1.00', 'Score Test Data: 0.80']
['Dataset: emotion_v_rest_dict', 'Max_depth: 8', 'Score Train Data: 1.00', 'Score Test Data: 0.80']
['Dataset: emotion_v_rest_dict', 'Max_depth: 9', 'Score Train Data: 1.00', 'Score Test Data: 0.80']
[]
['Dataset: emotion_v_emotion_dict', 'Max_depth: 1', 'Score Train Data: 0.74', 'Score Test Data: 0.43']
['Dataset: emotion_v_emotion_dict', 'Max_depth: 2', 'Score Train Data: 0.79', 'Score Test Data: 0.43']
['Dataset: emotion_v_emotion_dict', 'Max_depth: 3', 'Score Train Data: 0.95', 'Score Test Data: 0.43']
['Dataset: emotion_v_emotion_dict', 'Max_depth: 4', 'Score Train Data: 1.00', 'Score Test Data: 0.29']
['Dataset: emotion_v_emotion_dict', 'Max_depth: 5', 'Score Train Data: 1.00', 'Score Test Data: 0.29']
['Dataset: emotion_v_emotion_dict', 'Max_depth: 6', 'Score Train Data: 1.00', 'Score Test Data: 0.29']
['Dataset: emotion_v_emotion_dict', 'Max_depth: 7', 'Score Train Data: 1.00', 'Score Test Data: 0.29']
['Dataset: emotion_v_emotion_dict', 'Max_depth: 8', 'Score Train Data: 1.00', 'Score Test Data: 0.29']
['Dataset: emotion_v_emotion_dict', 'Max_depth: 9', 'Score Train Data: 1.00', 'Score Test Data: 0.29']
[]
