['Dataset: complete_dict', 'NumberOfEstimators: 5', 'MaxDepth: 1', 'Score Train Data: 0.50', 'Score Test Data: 0.46']
['Dataset: complete_dict', 'NumberOfEstimators: 5', 'MaxDepth: 2', 'Score Train Data: 0.58', 'Score Test Data: 0.46']
['Dataset: complete_dict', 'NumberOfEstimators: 5', 'MaxDepth: 3', 'Score Train Data: 0.66', 'Score Test Data: 0.50']
['Dataset: complete_dict', 'NumberOfEstimators: 5', 'MaxDepth: 4', 'Score Train Data: 0.76', 'Score Test Data: 0.54']
['Dataset: complete_dict', 'NumberOfEstimators: 5', 'MaxDepth: 5', 'Score Train Data: 0.83', 'Score Test Data: 0.58']
['Dataset: complete_dict', 'NumberOfEstimators: 25', 'MaxDepth: 1', 'Score Train Data: 0.45', 'Score Test Data: 0.38']
['Dataset: complete_dict', 'NumberOfEstimators: 25', 'MaxDepth: 2', 'Score Train Data: 0.61', 'Score Test Data: 0.46']
['Dataset: complete_dict', 'NumberOfEstimators: 25', 'MaxDepth: 3', 'Score Train Data: 0.70', 'Score Test Data: 0.50']
['Dataset: complete_dict', 'NumberOfEstimators: 25', 'MaxDepth: 4', 'Score Train Data: 0.78', 'Score Test Data: 0.42']
['Dataset: complete_dict', 'NumberOfEstimators: 25', 'MaxDepth: 5', 'Score Train Data: 0.92', 'Score Test Data: 0.50']
['Dataset: complete_dict', 'NumberOfEstimators: 50', 'MaxDepth: 1', 'Score Train Data: 0.50', 'Score Test Data: 0.38']
['Dataset: complete_dict', 'NumberOfEstimators: 50', 'MaxDepth: 2', 'Score Train Data: 0.62', 'Score Test Data: 0.46']
['Dataset: complete_dict', 'NumberOfEstimators: 50', 'MaxDepth: 3', 'Score Train Data: 0.71', 'Score Test Data: 0.50']
['Dataset: complete_dict', 'NumberOfEstimators: 50', 'MaxDepth: 4', 'Score Train Data: 0.79', 'Score Test Data: 0.46']
['Dataset: complete_dict', 'NumberOfEstimators: 50', 'MaxDepth: 5', 'Score Train Data: 0.92', 'Score Test Data: 0.50']
['Dataset: complete_dict', 'NumberOfEstimators: 100', 'MaxDepth: 1', 'Score Train Data: 0.46', 'Score Test Data: 0.42']
['Dataset: complete_dict', 'NumberOfEstimators: 100', 'MaxDepth: 2', 'Score Train Data: 0.63', 'Score Test Data: 0.46']
['Dataset: complete_dict', 'NumberOfEstimators: 100', 'MaxDepth: 3', 'Score Train Data: 0.71', 'Score Test Data: 0.50']
['Dataset: complete_dict', 'NumberOfEstimators: 100', 'MaxDepth: 4', 'Score Train Data: 0.79', 'Score Test Data: 0.50']
['Dataset: complete_dict', 'NumberOfEstimators: 100', 'MaxDepth: 5', 'Score Train Data: 0.95', 'Score Test Data: 0.54']
['Dataset: complete_dict', 'NumberOfEstimators: 250', 'MaxDepth: 1', 'Score Train Data: 0.46', 'Score Test Data: 0.42']
['Dataset: complete_dict', 'NumberOfEstimators: 250', 'MaxDepth: 2', 'Score Train Data: 0.62', 'Score Test Data: 0.46']
['Dataset: complete_dict', 'NumberOfEstimators: 250', 'MaxDepth: 3', 'Score Train Data: 0.71', 'Score Test Data: 0.46']
['Dataset: complete_dict', 'NumberOfEstimators: 250', 'MaxDepth: 4', 'Score Train Data: 0.82', 'Score Test Data: 0.54']
['Dataset: complete_dict', 'NumberOfEstimators: 250', 'MaxDepth: 5', 'Score Train Data: 0.97', 'Score Test Data: 0.58']
['Dataset: complete_dict', 'NumberOfEstimators: 500', 'MaxDepth: 1', 'Score Train Data: 0.45', 'Score Test Data: 0.46']
['Dataset: complete_dict', 'NumberOfEstimators: 500', 'MaxDepth: 2', 'Score Train Data: 0.62', 'Score Test Data: 0.46']
['Dataset: complete_dict', 'NumberOfEstimators: 500', 'MaxDepth: 3', 'Score Train Data: 0.72', 'Score Test Data: 0.46']
['Dataset: complete_dict', 'NumberOfEstimators: 500', 'MaxDepth: 4', 'Score Train Data: 0.80', 'Score Test Data: 0.54']
['Dataset: complete_dict', 'NumberOfEstimators: 500', 'MaxDepth: 5', 'Score Train Data: 0.96', 'Score Test Data: 0.58']
['Dataset: complete_dict', 'NumberOfEstimators: 1000', 'MaxDepth: 1', 'Score Train Data: 0.45', 'Score Test Data: 0.42']
['Dataset: complete_dict', 'NumberOfEstimators: 1000', 'MaxDepth: 2', 'Score Train Data: 0.62', 'Score Test Data: 0.46']
['Dataset: complete_dict', 'NumberOfEstimators: 1000', 'MaxDepth: 3', 'Score Train Data: 0.72', 'Score Test Data: 0.46']
['Dataset: complete_dict', 'NumberOfEstimators: 1000', 'MaxDepth: 4', 'Score Train Data: 0.80', 'Score Test Data: 0.54']
['Dataset: complete_dict', 'NumberOfEstimators: 1000', 'MaxDepth: 5', 'Score Train Data: 0.97', 'Score Test Data: 0.50']
[]
['Dataset: rest_v_all_dict', 'NumberOfEstimators: 5', 'MaxDepth: 1', 'Score Train Data: 0.88', 'Score Test Data: 0.88']
['Dataset: rest_v_all_dict', 'NumberOfEstimators: 5', 'MaxDepth: 2', 'Score Train Data: 0.95', 'Score Test Data: 0.85']
['Dataset: rest_v_all_dict', 'NumberOfEstimators: 5', 'MaxDepth: 3', 'Score Train Data: 0.96', 'Score Test Data: 0.81']
['Dataset: rest_v_all_dict', 'NumberOfEstimators: 5', 'MaxDepth: 4', 'Score Train Data: 0.95', 'Score Test Data: 0.77']
['Dataset: rest_v_all_dict', 'NumberOfEstimators: 5', 'MaxDepth: 5', 'Score Train Data: 0.96', 'Score Test Data: 0.77']
['Dataset: rest_v_all_dict', 'NumberOfEstimators: 25', 'MaxDepth: 1', 'Score Train Data: 0.91', 'Score Test Data: 0.88']
['Dataset: rest_v_all_dict', 'NumberOfEstimators: 25', 'MaxDepth: 2', 'Score Train Data: 0.97', 'Score Test Data: 0.88']
['Dataset: rest_v_all_dict', 'NumberOfEstimators: 25', 'MaxDepth: 3', 'Score Train Data: 1.00', 'Score Test Data: 0.92']
['Dataset: rest_v_all_dict', 'NumberOfEstimators: 25', 'MaxDepth: 4', 'Score Train Data: 1.00', 'Score Test Data: 0.96']
['Dataset: rest_v_all_dict', 'NumberOfEstimators: 25', 'MaxDepth: 5', 'Score Train Data: 1.00', 'Score Test Data: 0.92']
['Dataset: rest_v_all_dict', 'NumberOfEstimators: 50', 'MaxDepth: 1', 'Score Train Data: 0.91', 'Score Test Data: 0.88']
['Dataset: rest_v_all_dict', 'NumberOfEstimators: 50', 'MaxDepth: 2', 'Score Train Data: 0.99', 'Score Test Data: 0.88']
['Dataset: rest_v_all_dict', 'NumberOfEstimators: 50', 'MaxDepth: 3', 'Score Train Data: 1.00', 'Score Test Data: 0.92']
['Dataset: rest_v_all_dict', 'NumberOfEstimators: 50', 'MaxDepth: 4', 'Score Train Data: 1.00', 'Score Test Data: 0.92']
['Dataset: rest_v_all_dict', 'NumberOfEstimators: 50', 'MaxDepth: 5', 'Score Train Data: 1.00', 'Score Test Data: 0.92']
['Dataset: rest_v_all_dict', 'NumberOfEstimators: 100', 'MaxDepth: 1', 'Score Train Data: 0.91', 'Score Test Data: 0.88']
['Dataset: rest_v_all_dict', 'NumberOfEstimators: 100', 'MaxDepth: 2', 'Score Train Data: 0.97', 'Score Test Data: 0.85']
['Dataset: rest_v_all_dict', 'NumberOfEstimators: 100', 'MaxDepth: 3', 'Score Train Data: 1.00', 'Score Test Data: 0.96']
['Dataset: rest_v_all_dict', 'NumberOfEstimators: 100', 'MaxDepth: 4', 'Score Train Data: 1.00', 'Score Test Data: 0.96']
['Dataset: rest_v_all_dict', 'NumberOfEstimators: 100', 'MaxDepth: 5', 'Score Train Data: 1.00', 'Score Test Data: 0.96']
['Dataset: rest_v_all_dict', 'NumberOfEstimators: 250', 'MaxDepth: 1', 'Score Train Data: 0.91', 'Score Test Data: 0.88']
['Dataset: rest_v_all_dict', 'NumberOfEstimators: 250', 'MaxDepth: 2', 'Score Train Data: 0.96', 'Score Test Data: 0.85']
['Dataset: rest_v_all_dict', 'NumberOfEstimators: 250', 'MaxDepth: 3', 'Score Train Data: 1.00', 'Score Test Data: 0.96']
['Dataset: rest_v_all_dict', 'NumberOfEstimators: 250', 'MaxDepth: 4', 'Score Train Data: 1.00', 'Score Test Data: 0.96']
['Dataset: rest_v_all_dict', 'NumberOfEstimators: 250', 'MaxDepth: 5', 'Score Train Data: 1.00', 'Score Test Data: 0.96']
['Dataset: rest_v_all_dict', 'NumberOfEstimators: 500', 'MaxDepth: 1', 'Score Train Data: 0.91', 'Score Test Data: 0.88']
['Dataset: rest_v_all_dict', 'NumberOfEstimators: 500', 'MaxDepth: 2', 'Score Train Data: 0.96', 'Score Test Data: 0.85']
['Dataset: rest_v_all_dict', 'NumberOfEstimators: 500', 'MaxDepth: 3', 'Score Train Data: 1.00', 'Score Test Data: 0.96']
['Dataset: rest_v_all_dict', 'NumberOfEstimators: 500', 'MaxDepth: 4', 'Score Train Data: 1.00', 'Score Test Data: 0.96']
['Dataset: rest_v_all_dict', 'NumberOfEstimators: 500', 'MaxDepth: 5', 'Score Train Data: 1.00', 'Score Test Data: 0.96']
['Dataset: rest_v_all_dict', 'NumberOfEstimators: 1000', 'MaxDepth: 1', 'Score Train Data: 0.91', 'Score Test Data: 0.88']
['Dataset: rest_v_all_dict', 'NumberOfEstimators: 1000', 'MaxDepth: 2', 'Score Train Data: 0.96', 'Score Test Data: 0.85']
['Dataset: rest_v_all_dict', 'NumberOfEstimators: 1000', 'MaxDepth: 3', 'Score Train Data: 1.00', 'Score Test Data: 0.92']
['Dataset: rest_v_all_dict', 'NumberOfEstimators: 1000', 'MaxDepth: 4', 'Score Train Data: 1.00', 'Score Test Data: 0.96']
['Dataset: rest_v_all_dict', 'NumberOfEstimators: 1000', 'MaxDepth: 5', 'Score Train Data: 1.00', 'Score Test Data: 0.96']
[]
['Dataset: stress_v_all_dict', 'NumberOfEstimators: 5', 'MaxDepth: 1', 'Score Train Data: 0.92', 'Score Test Data: 0.85']
['Dataset: stress_v_all_dict', 'NumberOfEstimators: 5', 'MaxDepth: 2', 'Score Train Data: 0.96', 'Score Test Data: 0.92']
['Dataset: stress_v_all_dict', 'NumberOfEstimators: 5', 'MaxDepth: 3', 'Score Train Data: 0.99', 'Score Test Data: 0.88']
['Dataset: stress_v_all_dict', 'NumberOfEstimators: 5', 'MaxDepth: 4', 'Score Train Data: 0.99', 'Score Test Data: 0.88']
['Dataset: stress_v_all_dict', 'NumberOfEstimators: 5', 'MaxDepth: 5', 'Score Train Data: 0.99', 'Score Test Data: 0.88']
['Dataset: stress_v_all_dict', 'NumberOfEstimators: 25', 'MaxDepth: 1', 'Score Train Data: 0.89', 'Score Test Data: 0.88']
['Dataset: stress_v_all_dict', 'NumberOfEstimators: 25', 'MaxDepth: 2', 'Score Train Data: 0.97', 'Score Test Data: 0.88']
['Dataset: stress_v_all_dict', 'NumberOfEstimators: 25', 'MaxDepth: 3', 'Score Train Data: 0.99', 'Score Test Data: 0.88']
['Dataset: stress_v_all_dict', 'NumberOfEstimators: 25', 'MaxDepth: 4', 'Score Train Data: 0.99', 'Score Test Data: 0.88']
['Dataset: stress_v_all_dict', 'NumberOfEstimators: 25', 'MaxDepth: 5', 'Score Train Data: 1.00', 'Score Test Data: 0.88']
['Dataset: stress_v_all_dict', 'NumberOfEstimators: 50', 'MaxDepth: 1', 'Score Train Data: 0.89', 'Score Test Data: 0.88']
['Dataset: stress_v_all_dict', 'NumberOfEstimators: 50', 'MaxDepth: 2', 'Score Train Data: 0.99', 'Score Test Data: 0.88']
['Dataset: stress_v_all_dict', 'NumberOfEstimators: 50', 'MaxDepth: 3', 'Score Train Data: 0.99', 'Score Test Data: 0.88']
['Dataset: stress_v_all_dict', 'NumberOfEstimators: 50', 'MaxDepth: 4', 'Score Train Data: 1.00', 'Score Test Data: 0.88']
['Dataset: stress_v_all_dict', 'NumberOfEstimators: 50', 'MaxDepth: 5', 'Score Train Data: 1.00', 'Score Test Data: 0.88']
['Dataset: stress_v_all_dict', 'NumberOfEstimators: 100', 'MaxDepth: 1', 'Score Train Data: 0.89', 'Score Test Data: 0.88']
['Dataset: stress_v_all_dict', 'NumberOfEstimators: 100', 'MaxDepth: 2', 'Score Train Data: 0.97', 'Score Test Data: 0.88']
['Dataset: stress_v_all_dict', 'NumberOfEstimators: 100', 'MaxDepth: 3', 'Score Train Data: 0.99', 'Score Test Data: 0.88']
['Dataset: stress_v_all_dict', 'NumberOfEstimators: 100', 'MaxDepth: 4', 'Score Train Data: 1.00', 'Score Test Data: 0.88']
['Dataset: stress_v_all_dict', 'NumberOfEstimators: 100', 'MaxDepth: 5', 'Score Train Data: 1.00', 'Score Test Data: 0.88']
['Dataset: stress_v_all_dict', 'NumberOfEstimators: 250', 'MaxDepth: 1', 'Score Train Data: 0.89', 'Score Test Data: 0.88']
['Dataset: stress_v_all_dict', 'NumberOfEstimators: 250', 'MaxDepth: 2', 'Score Train Data: 0.99', 'Score Test Data: 0.88']
['Dataset: stress_v_all_dict', 'NumberOfEstimators: 250', 'MaxDepth: 3', 'Score Train Data: 0.99', 'Score Test Data: 0.88']
['Dataset: stress_v_all_dict', 'NumberOfEstimators: 250', 'MaxDepth: 4', 'Score Train Data: 1.00', 'Score Test Data: 0.88']
['Dataset: stress_v_all_dict', 'NumberOfEstimators: 250', 'MaxDepth: 5', 'Score Train Data: 1.00', 'Score Test Data: 0.88']
['Dataset: stress_v_all_dict', 'NumberOfEstimators: 500', 'MaxDepth: 1', 'Score Train Data: 0.91', 'Score Test Data: 0.88']
['Dataset: stress_v_all_dict', 'NumberOfEstimators: 500', 'MaxDepth: 2', 'Score Train Data: 0.99', 'Score Test Data: 0.88']
['Dataset: stress_v_all_dict', 'NumberOfEstimators: 500', 'MaxDepth: 3', 'Score Train Data: 0.99', 'Score Test Data: 0.88']
['Dataset: stress_v_all_dict', 'NumberOfEstimators: 500', 'MaxDepth: 4', 'Score Train Data: 1.00', 'Score Test Data: 0.88']
['Dataset: stress_v_all_dict', 'NumberOfEstimators: 500', 'MaxDepth: 5', 'Score Train Data: 1.00', 'Score Test Data: 0.88']
['Dataset: stress_v_all_dict', 'NumberOfEstimators: 1000', 'MaxDepth: 1', 'Score Train Data: 0.89', 'Score Test Data: 0.88']
['Dataset: stress_v_all_dict', 'NumberOfEstimators: 1000', 'MaxDepth: 2', 'Score Train Data: 0.99', 'Score Test Data: 0.88']
['Dataset: stress_v_all_dict', 'NumberOfEstimators: 1000', 'MaxDepth: 3', 'Score Train Data: 0.99', 'Score Test Data: 0.88']
['Dataset: stress_v_all_dict', 'NumberOfEstimators: 1000', 'MaxDepth: 4', 'Score Train Data: 1.00', 'Score Test Data: 0.88']
['Dataset: stress_v_all_dict', 'NumberOfEstimators: 1000', 'MaxDepth: 5', 'Score Train Data: 1.00', 'Score Test Data: 0.88']
[]
['Dataset: stress_v_rest_dict', 'NumberOfEstimators: 5', 'MaxDepth: 1', 'Score Train Data: 1.00', 'Score Test Data: 0.90']
['Dataset: stress_v_rest_dict', 'NumberOfEstimators: 5', 'MaxDepth: 2', 'Score Train Data: 1.00', 'Score Test Data: 0.90']
['Dataset: stress_v_rest_dict', 'NumberOfEstimators: 5', 'MaxDepth: 3', 'Score Train Data: 1.00', 'Score Test Data: 0.90']
['Dataset: stress_v_rest_dict', 'NumberOfEstimators: 5', 'MaxDepth: 4', 'Score Train Data: 1.00', 'Score Test Data: 0.90']
['Dataset: stress_v_rest_dict', 'NumberOfEstimators: 5', 'MaxDepth: 5', 'Score Train Data: 1.00', 'Score Test Data: 0.90']
['Dataset: stress_v_rest_dict', 'NumberOfEstimators: 25', 'MaxDepth: 1', 'Score Train Data: 1.00', 'Score Test Data: 1.00']
['Dataset: stress_v_rest_dict', 'NumberOfEstimators: 25', 'MaxDepth: 2', 'Score Train Data: 1.00', 'Score Test Data: 1.00']
['Dataset: stress_v_rest_dict', 'NumberOfEstimators: 25', 'MaxDepth: 3', 'Score Train Data: 1.00', 'Score Test Data: 1.00']
['Dataset: stress_v_rest_dict', 'NumberOfEstimators: 25', 'MaxDepth: 4', 'Score Train Data: 1.00', 'Score Test Data: 1.00']
['Dataset: stress_v_rest_dict', 'NumberOfEstimators: 25', 'MaxDepth: 5', 'Score Train Data: 1.00', 'Score Test Data: 1.00']
['Dataset: stress_v_rest_dict', 'NumberOfEstimators: 50', 'MaxDepth: 1', 'Score Train Data: 1.00', 'Score Test Data: 0.90']
['Dataset: stress_v_rest_dict', 'NumberOfEstimators: 50', 'MaxDepth: 2', 'Score Train Data: 1.00', 'Score Test Data: 1.00']
['Dataset: stress_v_rest_dict', 'NumberOfEstimators: 50', 'MaxDepth: 3', 'Score Train Data: 1.00', 'Score Test Data: 1.00']
['Dataset: stress_v_rest_dict', 'NumberOfEstimators: 50', 'MaxDepth: 4', 'Score Train Data: 1.00', 'Score Test Data: 1.00']
['Dataset: stress_v_rest_dict', 'NumberOfEstimators: 50', 'MaxDepth: 5', 'Score Train Data: 1.00', 'Score Test Data: 1.00']
['Dataset: stress_v_rest_dict', 'NumberOfEstimators: 100', 'MaxDepth: 1', 'Score Train Data: 1.00', 'Score Test Data: 1.00']
['Dataset: stress_v_rest_dict', 'NumberOfEstimators: 100', 'MaxDepth: 2', 'Score Train Data: 1.00', 'Score Test Data: 1.00']
['Dataset: stress_v_rest_dict', 'NumberOfEstimators: 100', 'MaxDepth: 3', 'Score Train Data: 1.00', 'Score Test Data: 1.00']
['Dataset: stress_v_rest_dict', 'NumberOfEstimators: 100', 'MaxDepth: 4', 'Score Train Data: 1.00', 'Score Test Data: 1.00']
['Dataset: stress_v_rest_dict', 'NumberOfEstimators: 100', 'MaxDepth: 5', 'Score Train Data: 1.00', 'Score Test Data: 1.00']
['Dataset: stress_v_rest_dict', 'NumberOfEstimators: 250', 'MaxDepth: 1', 'Score Train Data: 1.00', 'Score Test Data: 1.00']
['Dataset: stress_v_rest_dict', 'NumberOfEstimators: 250', 'MaxDepth: 2', 'Score Train Data: 1.00', 'Score Test Data: 1.00']
['Dataset: stress_v_rest_dict', 'NumberOfEstimators: 250', 'MaxDepth: 3', 'Score Train Data: 1.00', 'Score Test Data: 1.00']
['Dataset: stress_v_rest_dict', 'NumberOfEstimators: 250', 'MaxDepth: 4', 'Score Train Data: 1.00', 'Score Test Data: 1.00']
['Dataset: stress_v_rest_dict', 'NumberOfEstimators: 250', 'MaxDepth: 5', 'Score Train Data: 1.00', 'Score Test Data: 1.00']
['Dataset: stress_v_rest_dict', 'NumberOfEstimators: 500', 'MaxDepth: 1', 'Score Train Data: 1.00', 'Score Test Data: 1.00']
['Dataset: stress_v_rest_dict', 'NumberOfEstimators: 500', 'MaxDepth: 2', 'Score Train Data: 1.00', 'Score Test Data: 1.00']
['Dataset: stress_v_rest_dict', 'NumberOfEstimators: 500', 'MaxDepth: 3', 'Score Train Data: 1.00', 'Score Test Data: 1.00']
['Dataset: stress_v_rest_dict', 'NumberOfEstimators: 500', 'MaxDepth: 4', 'Score Train Data: 1.00', 'Score Test Data: 1.00']
['Dataset: stress_v_rest_dict', 'NumberOfEstimators: 500', 'MaxDepth: 5', 'Score Train Data: 1.00', 'Score Test Data: 1.00']
['Dataset: stress_v_rest_dict', 'NumberOfEstimators: 1000', 'MaxDepth: 1', 'Score Train Data: 1.00', 'Score Test Data: 1.00']
['Dataset: stress_v_rest_dict', 'NumberOfEstimators: 1000', 'MaxDepth: 2', 'Score Train Data: 1.00', 'Score Test Data: 1.00']
['Dataset: stress_v_rest_dict', 'NumberOfEstimators: 1000', 'MaxDepth: 3', 'Score Train Data: 1.00', 'Score Test Data: 1.00']
['Dataset: stress_v_rest_dict', 'NumberOfEstimators: 1000', 'MaxDepth: 4', 'Score Train Data: 1.00', 'Score Test Data: 1.00']
