['Dataset: complete_dict', 'NumberOfEstimators: 5', 'MaxFeatures: 15', 'Score Train Data: 0.92', 'Score Test Data: 0.42']
['Dataset: complete_dict', 'NumberOfEstimators: 5', 'MaxFeatures: 30', 'Score Train Data: 0.92', 'Score Test Data: 0.54']
['Dataset: complete_dict', 'NumberOfEstimators: 5', 'MaxFeatures: 62', 'Score Train Data: 0.89', 'Score Test Data: 0.58']
['Dataset: complete_dict', 'NumberOfEstimators: 25', 'MaxFeatures: 15', 'Score Train Data: 1.00', 'Score Test Data: 0.50']
['Dataset: complete_dict', 'NumberOfEstimators: 25', 'MaxFeatures: 30', 'Score Train Data: 0.99', 'Score Test Data: 0.50']
['Dataset: complete_dict', 'NumberOfEstimators: 25', 'MaxFeatures: 62', 'Score Train Data: 0.99', 'Score Test Data: 0.58']
['Dataset: complete_dict', 'NumberOfEstimators: 50', 'MaxFeatures: 15', 'Score Train Data: 1.00', 'Score Test Data: 0.50']
['Dataset: complete_dict', 'NumberOfEstimators: 50', 'MaxFeatures: 30', 'Score Train Data: 1.00', 'Score Test Data: 0.50']
['Dataset: complete_dict', 'NumberOfEstimators: 50', 'MaxFeatures: 62', 'Score Train Data: 1.00', 'Score Test Data: 0.50']
['Dataset: complete_dict', 'NumberOfEstimators: 100', 'MaxFeatures: 15', 'Score Train Data: 1.00', 'Score Test Data: 0.54']
['Dataset: complete_dict', 'NumberOfEstimators: 100', 'MaxFeatures: 30', 'Score Train Data: 1.00', 'Score Test Data: 0.58']
['Dataset: complete_dict', 'NumberOfEstimators: 100', 'MaxFeatures: 62', 'Score Train Data: 1.00', 'Score Test Data: 0.50']
['Dataset: complete_dict', 'NumberOfEstimators: 250', 'MaxFeatures: 15', 'Score Train Data: 1.00', 'Score Test Data: 0.54']
['Dataset: complete_dict', 'NumberOfEstimators: 250', 'MaxFeatures: 30', 'Score Train Data: 1.00', 'Score Test Data: 0.46']
['Dataset: complete_dict', 'NumberOfEstimators: 250', 'MaxFeatures: 62', 'Score Train Data: 1.00', 'Score Test Data: 0.46']
['Dataset: complete_dict', 'NumberOfEstimators: 500', 'MaxFeatures: 15', 'Score Train Data: 1.00', 'Score Test Data: 0.46']
['Dataset: complete_dict', 'NumberOfEstimators: 500', 'MaxFeatures: 30', 'Score Train Data: 1.00', 'Score Test Data: 0.46']
['Dataset: complete_dict', 'NumberOfEstimators: 500', 'MaxFeatures: 62', 'Score Train Data: 1.00', 'Score Test Data: 0.46']
['Dataset: complete_dict', 'NumberOfEstimators: 1000', 'MaxFeatures: 15', 'Score Train Data: 1.00', 'Score Test Data: 0.42']
['Dataset: complete_dict', 'NumberOfEstimators: 1000', 'MaxFeatures: 30', 'Score Train Data: 1.00', 'Score Test Data: 0.46']
['Dataset: complete_dict', 'NumberOfEstimators: 1000', 'MaxFeatures: 62', 'Score Train Data: 1.00', 'Score Test Data: 0.42']
[]
['Dataset: rest_v_all_dict', 'NumberOfEstimators: 5', 'MaxFeatures: 15', 'Score Train Data: 1.00', 'Score Test Data: 0.96']
['Dataset: rest_v_all_dict', 'NumberOfEstimators: 5', 'MaxFeatures: 30', 'Score Train Data: 1.00', 'Score Test Data: 0.85']
['Dataset: rest_v_all_dict', 'NumberOfEstimators: 5', 'MaxFeatures: 62', 'Score Train Data: 1.00', 'Score Test Data: 0.92']
['Dataset: rest_v_all_dict', 'NumberOfEstimators: 25', 'MaxFeatures: 15', 'Score Train Data: 1.00', 'Score Test Data: 0.96']
['Dataset: rest_v_all_dict', 'NumberOfEstimators: 25', 'MaxFeatures: 30', 'Score Train Data: 1.00', 'Score Test Data: 0.88']
['Dataset: rest_v_all_dict', 'NumberOfEstimators: 25', 'MaxFeatures: 62', 'Score Train Data: 1.00', 'Score Test Data: 0.88']
['Dataset: rest_v_all_dict', 'NumberOfEstimators: 50', 'MaxFeatures: 15', 'Score Train Data: 1.00', 'Score Test Data: 0.92']
['Dataset: rest_v_all_dict', 'NumberOfEstimators: 50', 'MaxFeatures: 30', 'Score Train Data: 1.00', 'Score Test Data: 0.88']
['Dataset: rest_v_all_dict', 'NumberOfEstimators: 50', 'MaxFeatures: 62', 'Score Train Data: 1.00', 'Score Test Data: 0.88']
['Dataset: rest_v_all_dict', 'NumberOfEstimators: 100', 'MaxFeatures: 15', 'Score Train Data: 1.00', 'Score Test Data: 0.88']
