['Dataset: complete_dict', 'NumberOfEstimators: 100', 'MaxDepth: 1', 'LearningRate: 0.1', 'Score Train Data: 0.987', 'Score Test Data: 0.385']
['Dataset: complete_dict', 'NumberOfEstimators: 100', 'MaxDepth: 1', 'LearningRate: 0.05', 'Score Train Data: 0.934', 'Score Test Data: 0.462']
['Dataset: complete_dict', 'NumberOfEstimators: 100', 'MaxDepth: 1', 'LearningRate: 0.01', 'Score Train Data: 0.618', 'Score Test Data: 0.462']
['Dataset: complete_dict', 'NumberOfEstimators: 100', 'MaxDepth: 1', 'LearningRate: 0.005', 'Score Train Data: 0.461', 'Score Test Data: 0.462']
['Dataset: complete_dict', 'NumberOfEstimators: 100', 'MaxDepth: 1', 'LearningRate: 0.0025', 'Score Train Data: 0.368', 'Score Test Data: 0.385']
['Dataset: complete_dict', 'NumberOfEstimators: 100', 'MaxDepth: 1', 'LearningRate: 0.0015', 'Score Train Data: 0.368', 'Score Test Data: 0.385']
['Dataset: complete_dict', 'NumberOfEstimators: 100', 'MaxDepth: 1', 'LearningRate: 0.001', 'Score Train Data: 0.368', 'Score Test Data: 0.385']
['Dataset: complete_dict', 'NumberOfEstimators: 100', 'MaxDepth: 2', 'LearningRate: 0.1', 'Score Train Data: 1.000', 'Score Test Data: 0.385']
['Dataset: complete_dict', 'NumberOfEstimators: 100', 'MaxDepth: 2', 'LearningRate: 0.05', 'Score Train Data: 1.000', 'Score Test Data: 0.462']
['Dataset: complete_dict', 'NumberOfEstimators: 100', 'MaxDepth: 2', 'LearningRate: 0.01', 'Score Train Data: 0.868', 'Score Test Data: 0.615']
['Dataset: complete_dict', 'NumberOfEstimators: 100', 'MaxDepth: 2', 'LearningRate: 0.005', 'Score Train Data: 0.724', 'Score Test Data: 0.577']
['Dataset: complete_dict', 'NumberOfEstimators: 100', 'MaxDepth: 2', 'LearningRate: 0.0025', 'Score Train Data: 0.618', 'Score Test Data: 0.462']
['Dataset: complete_dict', 'NumberOfEstimators: 100', 'MaxDepth: 2', 'LearningRate: 0.0015', 'Score Train Data: 0.368', 'Score Test Data: 0.385']
['Dataset: complete_dict', 'NumberOfEstimators: 100', 'MaxDepth: 2', 'LearningRate: 0.001', 'Score Train Data: 0.368', 'Score Test Data: 0.385']
['Dataset: complete_dict', 'NumberOfEstimators: 100', 'MaxDepth: 3', 'LearningRate: 0.1', 'Score Train Data: 1.000', 'Score Test Data: 0.385']
['Dataset: complete_dict', 'NumberOfEstimators: 100', 'MaxDepth: 3', 'LearningRate: 0.05', 'Score Train Data: 1.000', 'Score Test Data: 0.423']
['Dataset: complete_dict', 'NumberOfEstimators: 100', 'MaxDepth: 3', 'LearningRate: 0.01', 'Score Train Data: 0.974', 'Score Test Data: 0.615']
['Dataset: complete_dict', 'NumberOfEstimators: 100', 'MaxDepth: 3', 'LearningRate: 0.005', 'Score Train Data: 0.895', 'Score Test Data: 0.538']
['Dataset: complete_dict', 'NumberOfEstimators: 100', 'MaxDepth: 3', 'LearningRate: 0.0025', 'Score Train Data: 0.711', 'Score Test Data: 0.423']
['Dataset: complete_dict', 'NumberOfEstimators: 100', 'MaxDepth: 3', 'LearningRate: 0.0015', 'Score Train Data: 0.368', 'Score Test Data: 0.385']
['Dataset: complete_dict', 'NumberOfEstimators: 100', 'MaxDepth: 3', 'LearningRate: 0.001', 'Score Train Data: 0.368', 'Score Test Data: 0.385']
['Dataset: complete_dict', 'NumberOfEstimators: 100', 'MaxDepth: 4', 'LearningRate: 0.1', 'Score Train Data: 1.000', 'Score Test Data: 0.385']
['Dataset: complete_dict', 'NumberOfEstimators: 100', 'MaxDepth: 4', 'LearningRate: 0.05', 'Score Train Data: 1.000', 'Score Test Data: 0.423']
['Dataset: complete_dict', 'NumberOfEstimators: 100', 'MaxDepth: 4', 'LearningRate: 0.01', 'Score Train Data: 0.987', 'Score Test Data: 0.577']
['Dataset: complete_dict', 'NumberOfEstimators: 100', 'MaxDepth: 4', 'LearningRate: 0.005', 'Score Train Data: 0.961', 'Score Test Data: 0.577']
['Dataset: complete_dict', 'NumberOfEstimators: 100', 'MaxDepth: 4', 'LearningRate: 0.0025', 'Score Train Data: 0.763', 'Score Test Data: 0.462']
['Dataset: complete_dict', 'NumberOfEstimators: 100', 'MaxDepth: 4', 'LearningRate: 0.0015', 'Score Train Data: 0.368', 'Score Test Data: 0.385']
['Dataset: complete_dict', 'NumberOfEstimators: 100', 'MaxDepth: 4', 'LearningRate: 0.001', 'Score Train Data: 0.368', 'Score Test Data: 0.385']
[]
['Dataset: rest_v_all_dict', 'NumberOfEstimators: 100', 'MaxDepth: 1', 'LearningRate: 0.1', 'Score Train Data: 1.000', 'Score Test Data: 0.923']
['Dataset: rest_v_all_dict', 'NumberOfEstimators: 100', 'MaxDepth: 1', 'LearningRate: 0.05', 'Score Train Data: 1.000', 'Score Test Data: 0.923']
['Dataset: rest_v_all_dict', 'NumberOfEstimators: 100', 'MaxDepth: 1', 'LearningRate: 0.01', 'Score Train Data: 0.882', 'Score Test Data: 0.885']
['Dataset: rest_v_all_dict', 'NumberOfEstimators: 100', 'MaxDepth: 1', 'LearningRate: 0.005', 'Score Train Data: 0.868', 'Score Test Data: 0.885']
['Dataset: rest_v_all_dict', 'NumberOfEstimators: 100', 'MaxDepth: 1', 'LearningRate: 0.0025', 'Score Train Data: 0.868', 'Score Test Data: 0.885']
['Dataset: rest_v_all_dict', 'NumberOfEstimators: 100', 'MaxDepth: 1', 'LearningRate: 0.0015', 'Score Train Data: 0.868', 'Score Test Data: 0.885']
['Dataset: rest_v_all_dict', 'NumberOfEstimators: 100', 'MaxDepth: 1', 'LearningRate: 0.001', 'Score Train Data: 0.868', 'Score Test Data: 0.885']
['Dataset: rest_v_all_dict', 'NumberOfEstimators: 100', 'MaxDepth: 2', 'LearningRate: 0.1', 'Score Train Data: 1.000', 'Score Test Data: 0.885']
['Dataset: rest_v_all_dict', 'NumberOfEstimators: 100', 'MaxDepth: 2', 'LearningRate: 0.05', 'Score Train Data: 1.000', 'Score Test Data: 0.885']
['Dataset: rest_v_all_dict', 'NumberOfEstimators: 100', 'MaxDepth: 2', 'LearningRate: 0.01', 'Score Train Data: 1.000', 'Score Test Data: 0.923']
['Dataset: rest_v_all_dict', 'NumberOfEstimators: 100', 'MaxDepth: 2', 'LearningRate: 0.005', 'Score Train Data: 0.868', 'Score Test Data: 0.885']
['Dataset: rest_v_all_dict', 'NumberOfEstimators: 100', 'MaxDepth: 2', 'LearningRate: 0.0025', 'Score Train Data: 0.868', 'Score Test Data: 0.885']
['Dataset: rest_v_all_dict', 'NumberOfEstimators: 100', 'MaxDepth: 2', 'LearningRate: 0.0015', 'Score Train Data: 0.868', 'Score Test Data: 0.885']
['Dataset: rest_v_all_dict', 'NumberOfEstimators: 100', 'MaxDepth: 2', 'LearningRate: 0.001', 'Score Train Data: 0.868', 'Score Test Data: 0.885']
['Dataset: rest_v_all_dict', 'NumberOfEstimators: 100', 'MaxDepth: 3', 'LearningRate: 0.1', 'Score Train Data: 1.000', 'Score Test Data: 0.885']
['Dataset: rest_v_all_dict', 'NumberOfEstimators: 100', 'MaxDepth: 3', 'LearningRate: 0.05', 'Score Train Data: 1.000', 'Score Test Data: 0.885']
['Dataset: rest_v_all_dict', 'NumberOfEstimators: 100', 'MaxDepth: 3', 'LearningRate: 0.01', 'Score Train Data: 1.000', 'Score Test Data: 0.923']
['Dataset: rest_v_all_dict', 'NumberOfEstimators: 100', 'MaxDepth: 3', 'LearningRate: 0.005', 'Score Train Data: 0.868', 'Score Test Data: 0.885']
['Dataset: rest_v_all_dict', 'NumberOfEstimators: 100', 'MaxDepth: 3', 'LearningRate: 0.0025', 'Score Train Data: 0.868', 'Score Test Data: 0.885']
['Dataset: rest_v_all_dict', 'NumberOfEstimators: 100', 'MaxDepth: 3', 'LearningRate: 0.0015', 'Score Train Data: 0.868', 'Score Test Data: 0.885']
['Dataset: rest_v_all_dict', 'NumberOfEstimators: 100', 'MaxDepth: 3', 'LearningRate: 0.001', 'Score Train Data: 0.868', 'Score Test Data: 0.885']
