['Dataset: complete_dict', 'NumberOfEstimators: 2000', 'MaxDepth: 1', 'LearningRate: 0.1', 'Score Train Data: 1.000', 'Score Test Data: 0.385']
['Dataset: complete_dict', 'NumberOfEstimators: 2000', 'MaxDepth: 1', 'LearningRate: 0.05', 'Score Train Data: 1.000', 'Score Test Data: 0.385']
['Dataset: complete_dict', 'NumberOfEstimators: 2000', 'MaxDepth: 1', 'LearningRate: 0.01', 'Score Train Data: 1.000', 'Score Test Data: 0.346']
['Dataset: complete_dict', 'NumberOfEstimators: 2000', 'MaxDepth: 1', 'LearningRate: 0.005', 'Score Train Data: 0.987', 'Score Test Data: 0.423']
['Dataset: complete_dict', 'NumberOfEstimators: 2000', 'MaxDepth: 1', 'LearningRate: 0.0025', 'Score Train Data: 0.934', 'Score Test Data: 0.462']
['Dataset: complete_dict', 'NumberOfEstimators: 2000', 'MaxDepth: 1', 'LearningRate: 0.0015', 'Score Train Data: 0.842', 'Score Test Data: 0.423']
['Dataset: complete_dict', 'NumberOfEstimators: 2000', 'MaxDepth: 1', 'LearningRate: 0.001', 'Score Train Data: 0.776', 'Score Test Data: 0.500']
['Dataset: complete_dict', 'NumberOfEstimators: 2000', 'MaxDepth: 2', 'LearningRate: 0.1', 'Score Train Data: 1.000', 'Score Test Data: 0.346']
['Dataset: complete_dict', 'NumberOfEstimators: 2000', 'MaxDepth: 2', 'LearningRate: 0.05', 'Score Train Data: 1.000', 'Score Test Data: 0.385']
['Dataset: complete_dict', 'NumberOfEstimators: 2000', 'MaxDepth: 2', 'LearningRate: 0.01', 'Score Train Data: 1.000', 'Score Test Data: 0.385']
['Dataset: complete_dict', 'NumberOfEstimators: 2000', 'MaxDepth: 2', 'LearningRate: 0.005', 'Score Train Data: 1.000', 'Score Test Data: 0.462']
['Dataset: complete_dict', 'NumberOfEstimators: 2000', 'MaxDepth: 2', 'LearningRate: 0.0025', 'Score Train Data: 1.000', 'Score Test Data: 0.462']
['Dataset: complete_dict', 'NumberOfEstimators: 2000', 'MaxDepth: 2', 'LearningRate: 0.0015', 'Score Train Data: 1.000', 'Score Test Data: 0.538']
['Dataset: complete_dict', 'NumberOfEstimators: 2000', 'MaxDepth: 2', 'LearningRate: 0.001', 'Score Train Data: 0.987', 'Score Test Data: 0.538']
['Dataset: complete_dict', 'NumberOfEstimators: 2000', 'MaxDepth: 3', 'LearningRate: 0.1', 'Score Train Data: 1.000', 'Score Test Data: 0.346']
['Dataset: complete_dict', 'NumberOfEstimators: 2000', 'MaxDepth: 3', 'LearningRate: 0.05', 'Score Train Data: 1.000', 'Score Test Data: 0.385']
['Dataset: complete_dict', 'NumberOfEstimators: 2000', 'MaxDepth: 3', 'LearningRate: 0.01', 'Score Train Data: 1.000', 'Score Test Data: 0.385']
['Dataset: complete_dict', 'NumberOfEstimators: 2000', 'MaxDepth: 3', 'LearningRate: 0.005', 'Score Train Data: 1.000', 'Score Test Data: 0.385']
['Dataset: complete_dict', 'NumberOfEstimators: 2000', 'MaxDepth: 3', 'LearningRate: 0.0025', 'Score Train Data: 1.000', 'Score Test Data: 0.385']
['Dataset: complete_dict', 'NumberOfEstimators: 2000', 'MaxDepth: 3', 'LearningRate: 0.0015', 'Score Train Data: 1.000', 'Score Test Data: 0.538']
['Dataset: complete_dict', 'NumberOfEstimators: 2000', 'MaxDepth: 3', 'LearningRate: 0.001', 'Score Train Data: 1.000', 'Score Test Data: 0.615']
['Dataset: complete_dict', 'NumberOfEstimators: 2000', 'MaxDepth: 4', 'LearningRate: 0.1', 'Score Train Data: 1.000', 'Score Test Data: 0.385']
['Dataset: complete_dict', 'NumberOfEstimators: 2000', 'MaxDepth: 4', 'LearningRate: 0.05', 'Score Train Data: 1.000', 'Score Test Data: 0.385']
['Dataset: complete_dict', 'NumberOfEstimators: 2000', 'MaxDepth: 4', 'LearningRate: 0.01', 'Score Train Data: 1.000', 'Score Test Data: 0.423']
['Dataset: complete_dict', 'NumberOfEstimators: 2000', 'MaxDepth: 4', 'LearningRate: 0.005', 'Score Train Data: 1.000', 'Score Test Data: 0.385']
['Dataset: complete_dict', 'NumberOfEstimators: 2000', 'MaxDepth: 4', 'LearningRate: 0.0025', 'Score Train Data: 1.000', 'Score Test Data: 0.500']
['Dataset: complete_dict', 'NumberOfEstimators: 2000', 'MaxDepth: 4', 'LearningRate: 0.0015', 'Score Train Data: 1.000', 'Score Test Data: 0.615']
['Dataset: complete_dict', 'NumberOfEstimators: 2000', 'MaxDepth: 4', 'LearningRate: 0.001', 'Score Train Data: 1.000', 'Score Test Data: 0.615']
[]
['Dataset: rest_v_all_dict', 'NumberOfEstimators: 2000', 'MaxDepth: 1', 'LearningRate: 0.1', 'Score Train Data: 1.000', 'Score Test Data: 0.923']
['Dataset: rest_v_all_dict', 'NumberOfEstimators: 2000', 'MaxDepth: 1', 'LearningRate: 0.05', 'Score Train Data: 1.000', 'Score Test Data: 0.962']
['Dataset: rest_v_all_dict', 'NumberOfEstimators: 2000', 'MaxDepth: 1', 'LearningRate: 0.01', 'Score Train Data: 1.000', 'Score Test Data: 0.962']
['Dataset: rest_v_all_dict', 'NumberOfEstimators: 2000', 'MaxDepth: 1', 'LearningRate: 0.005', 'Score Train Data: 1.000', 'Score Test Data: 0.962']
['Dataset: rest_v_all_dict', 'NumberOfEstimators: 2000', 'MaxDepth: 1', 'LearningRate: 0.0025', 'Score Train Data: 1.000', 'Score Test Data: 0.962']
['Dataset: rest_v_all_dict', 'NumberOfEstimators: 2000', 'MaxDepth: 1', 'LearningRate: 0.0015', 'Score Train Data: 1.000', 'Score Test Data: 0.962']
['Dataset: rest_v_all_dict', 'NumberOfEstimators: 2000', 'MaxDepth: 1', 'LearningRate: 0.001', 'Score Train Data: 1.000', 'Score Test Data: 0.962']
['Dataset: rest_v_all_dict', 'NumberOfEstimators: 2000', 'MaxDepth: 2', 'LearningRate: 0.1', 'Score Train Data: 1.000', 'Score Test Data: 0.885']
['Dataset: rest_v_all_dict', 'NumberOfEstimators: 2000', 'MaxDepth: 2', 'LearningRate: 0.05', 'Score Train Data: 1.000', 'Score Test Data: 0.885']
['Dataset: rest_v_all_dict', 'NumberOfEstimators: 2000', 'MaxDepth: 2', 'LearningRate: 0.01', 'Score Train Data: 1.000', 'Score Test Data: 0.885']
['Dataset: rest_v_all_dict', 'NumberOfEstimators: 2000', 'MaxDepth: 2', 'LearningRate: 0.005', 'Score Train Data: 1.000', 'Score Test Data: 0.885']
['Dataset: rest_v_all_dict', 'NumberOfEstimators: 2000', 'MaxDepth: 2', 'LearningRate: 0.0025', 'Score Train Data: 1.000', 'Score Test Data: 0.923']
['Dataset: rest_v_all_dict', 'NumberOfEstimators: 2000', 'MaxDepth: 2', 'LearningRate: 0.0015', 'Score Train Data: 1.000', 'Score Test Data: 0.923']
['Dataset: rest_v_all_dict', 'NumberOfEstimators: 2000', 'MaxDepth: 2', 'LearningRate: 0.001', 'Score Train Data: 1.000', 'Score Test Data: 0.923']
['Dataset: rest_v_all_dict', 'NumberOfEstimators: 2000', 'MaxDepth: 3', 'LearningRate: 0.1', 'Score Train Data: 1.000', 'Score Test Data: 0.885']
['Dataset: rest_v_all_dict', 'NumberOfEstimators: 2000', 'MaxDepth: 3', 'LearningRate: 0.05', 'Score Train Data: 1.000', 'Score Test Data: 0.885']
['Dataset: rest_v_all_dict', 'NumberOfEstimators: 2000', 'MaxDepth: 3', 'LearningRate: 0.01', 'Score Train Data: 1.000', 'Score Test Data: 0.885']
['Dataset: rest_v_all_dict', 'NumberOfEstimators: 2000', 'MaxDepth: 3', 'LearningRate: 0.005', 'Score Train Data: 1.000', 'Score Test Data: 0.885']
['Dataset: rest_v_all_dict', 'NumberOfEstimators: 2000', 'MaxDepth: 3', 'LearningRate: 0.0025', 'Score Train Data: 1.000', 'Score Test Data: 0.923']
['Dataset: rest_v_all_dict', 'NumberOfEstimators: 2000', 'MaxDepth: 3', 'LearningRate: 0.0015', 'Score Train Data: 1.000', 'Score Test Data: 0.923']
['Dataset: rest_v_all_dict', 'NumberOfEstimators: 2000', 'MaxDepth: 3', 'LearningRate: 0.001', 'Score Train Data: 1.000', 'Score Test Data: 0.923']
['Dataset: rest_v_all_dict', 'NumberOfEstimators: 2000', 'MaxDepth: 4', 'LearningRate: 0.1', 'Score Train Data: 1.000', 'Score Test Data: 0.885']
