feature,value
name,raw (peak data)
mean_nni,616.0760309278351
sdnn,258.87447571182327
sdsd,360.7549020189472
nni_50,444
pnni_50,91.54639175257732
nni_20,465
pnni_20,95.87628865979381
rmssd,360.754907796808
median_nni,656.25
range_nni,1046.875
cvsd,0.5855688091833353
cvnni,0.42019890843983654
mean_hr,126.93389538562224
max_hr,349.09090909090907
min_hr,49.23076923076923
std_hr,76.71641161165971
emotional rating,6.0
name,interpolated (no artifacts)
mean_nni,735.6147670025189
sdnn,173.77839373435398
sdsd,186.15336556658377
nni_50,255
pnni_50,64.23173803526448
nni_20,333
pnni_20,83.87909319899245
rmssd,186.15343247314308
median_nni,750.0
range_nni,890.625
cvsd,0.25305831370362586
cvnni,0.23623559712166428
mean_hr,87.4638510063918
max_hr,182.85714285714286
min_hr,49.23076923076923
std_hr,26.696590980464244
emotional rating,6.0
name,nn_intervals (no artifacts or ectopic beats)
mean_nni,739.7279728169607
sdnn,160.33731483185477
sdsd,117.81894160457527
nni_50,242
pnni_50,60.957178841309826
nni_20,326
pnni_20,82.11586901763224
rmssd,117.81904731659131
median_nni,757.8125
range_nni,781.25
cvsd,0.15927347842197204
cvnni,0.21675172593686526
mean_hr,86.13020100319117
max_hr,182.85714285714286
min_hr,54.08450704225352
std_hr,24.58775056055535
emotional rating,6.0
